Volatility 3 Framework 1.0.1

Offset	Name	Size
0x3e0d55d0	\$Directory	128
0x3e0d5ab0	\Windows\System32\scecli.dll	128
0x3e0d7800	\protected_storage	128
0x3e0d8a78	\Windows\System32\config\SAM.LOG2	128
0x3e0d8c68	\Windows\System32\config\RegBack\SAM	128
0x3e0d9eb8	\Windows\System32\wups2.dll	128
0x3e0daa88	\Windows\System32\config\SECURITY	128
0x3e0dae58	\Program Files\Adobe\Acrobat Reader DC\Reader\CoolType.dll	128
0x3e0daf38	\Endpoint	128
0x3e0db6c8	\Windows\System32\wshqos.dll	128
0x3e0dbf80	\Windows\System32\fr-FR\wship6.dll.mui	128
0x3e0dc038	\Endpoint	128
0x3e0dc168	\Windows\System32\xpsrchvw.exe	128
0x3e0dc210	\Windows\System32\config\RegBack\SECURITY	128
0x3e0dc558	\Windows\System32\config\SECURITY.LOG2	128
0x3e0dc8a0	\epmapper	128
0x3e0dccc8	\epmapper	128
0x3e0ddf80	\epmapper	128
0x3e0de038	\Windows\System32\winbrand.dll	128
0x3e0deec8	\Winsock2\CatalogChangeListener-27c-0	128
0x3e0def80	\Windows\System32\eappprxy.dll	128
0x3e0e1bf8	\Users\Daniel\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\94308059B57B3142E455B38A6EB92015	128
0x3e0e3038	\Program Files\Adobe\Acrobat Reader DC\Reader\cryptocme.sig	128
0x3e0e8990	\Windows\System32\regsvr32.exe	128
0x3e0e9348	\Windows\Fonts\corbelz.ttf	128
0x3e0e9c08	\Windows\System32\negoexts.dll	128
0x3e0eac70	\Users\Daniel\AppData\Roaming\Mozilla\Firefox\Profiles\4ALC5C~1.DEF\key4.db	128
0x3e0ec848	\Windows\System32\mscms.dll	128
0x3e0ec900	\Program Files\Mozilla Firefox\dependentlibs.list	128
0x3e0ee720	\Windows\System32\dhcpcsvc6.dll	128
0x3e0ef0c8	\Windows\System32\dnsapi.dll	128
0x3e100aa0	\Windows\System32\logoncli.dll	128
0x3e100ed0	\Windows\System32\netlogon.dll	128
0x3e101630	\Windows\System32\schannel.dll	128
0x3e101cf8	\Windows\System32\dhcpcsvc.dll	128
0x3e1022d0	\Windows\System32\certprop.dll	128
0x3e102ac0	\Users\Public\Pictures\desktop.ini	128
0x3e103038	\Windows\Fonts\iskpotab.ttf	128
0x3e1036c8	\Windows\Fonts\gautamib.ttf	128
0x3e105f80	\Windows\System32\AuthFWGP.dll	128
0x3e106038	\Windows\System32\timedate.cpl	128
0x3e108038	\Windows\System32\msconfig.exe	128
0x3e10a260	\Windows\Fonts\corbel.ttf	128
0x3e10aae8	\Windows\System32\filemgmt.dll	128
0x3e10aec8	\Windows\System32\msvcrt.dll	128
0x3e10af80	\Windows\System32\wdigest.dll	128
0x3e10b578	\Windows\System32\nrpsrv.dll	128
0x3e10b948	\Windows\Fonts\gautami.ttf	128
0x3e10bf80	\Windows\System32\imageres.dll	128
0x3e10c038	\Windows\Fonts\segoesc.ttf	128
0x3e113038	\Windows\System32\fr-FR\wer.dll.mui	128
0x3e115460	\Windows\System32\TSpkg.dll	128
0x3e115b80	\Windows\System32\webcheck.dll	128
0x3e115e60	\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4WHC.evtx	128
0x3e1161e8	\Windows\System32\dnsrslvr.dll	128
0x3e117140	\Windows\Fonts\msyh.ttf	128
0x3e117828	\Windows\Fonts\Vani.ttf	128
0x3e120828	\Windows\System32\iedkcs32.dll	128
0x3e120d58	\Windows\System32\pku2u.dll	128
0x3e121d30	\$Directory	128
0x3e1223d8	\Windows\Fonts\kalingab.ttf	128
0x3e122500	\$Directory	128
0x3e125510	\Windows\System32\fltLib.dll	128
0x3e1257d8	\Windows\System32\ubpm.dll	128
0x3e125e60	\Windows\System32\StructuredQuery.dll	128
0x3e1286d8	\Windows\System32\mlang.dll	128
0x3e129e58	\Users\Daniel\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Windows Explorer.lnk	128
0x3e129f80	\Windows\System32\SPInf.dll	128
0x3e12a7a8	\Windows\System32\svchost.exe	128
0x3e12aa20	\Windows\System32\devrtl.dll	128
0x3e12b820	\Windows\System32	128
0x3e12e658	\Users\Daniel\AppData\Roaming\Microsoft\Windows\Recent\CV_DELALANDE_Richard.lnk	128
0x3e12ebe0	\Windows\System32\umpnpmgr.dll	128
0x3e12f038	\Windows\System32\fr-FR\svchost.exe.mui	128
0x3e131188	\Users\Daniel\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012022022320220224\index.dat	128
0x3e131240	\Windows\System32\userenv.dll	128
0x3e1314e8	\plugplay	128
0x3e1315a0	\plugplay	128
0x3e131710	\plugplay	128
0x3e1328d0	\Windows\System32\gpapi.dll	128
0x3e132e78	\Windows\System32\winbio.dll	128
0x3e1331e8	\$ConvertToNonresident	128
0x3e133ee0	\Windows\winsxs\x86_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.17514_none_0b66cb34258c936f\drvstore.dll	128
0x3e1341d8	\Windows\System32\pcwum.dll	128
0x3e1348a0	\Windows\System32\dfscli.dll	128
0x3e1349c8	\Windows\System32\fr-FR\dwmapi.dll.mui	128
0x3e134ca8	\Windows\System32\umpo.dll	128
0x3e135870	\Windows\System32\fr-FR\setupapi.dll.mui	128
0x3e136348	\Windows\System32\powrprof.dll	128
0x3e1371d8	\$Directory	128
0x3e139870	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TM.blf	128
0x3e1399f0	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG1	128
0x3e139ae8	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG2	128
0x3e139c78	\Windows\System32\slc.dll	128
0x3e139d30	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT	128
0x3e13a038	\Windows\System32\rpcss.dll	128
0x3e13a7a8	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TMContainer00000000000000000002.regtrans-ms	128
0x3e13ab88	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TMContainer00000000000000000001.regtrans-ms	128
0x3e13acf8	\Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TM	128
0x3e13b038	\Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TM	128
0x3e13b528	\Windows\System32\wininet.dll	128
0x3e13b5e0	\Windows\System32	128
0x3e13cd70	\Windows\System32\RpcEpMap.dll	128
0x3e140938	\Windows\System32\C_1254.NLS	128
0x3e140eb8	\Windows\winsxs\FileMaps\$$_system32_21f9a9c4a2f8b514.cdf-ms	128
0x3e141648	\Users\Daniel\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\DA3B6E45325D5FFF28CF6BAD6065C907_0CA0B6A0FC061704366CD7F8CEED0190	128
0x3e141a78	\Windows\Fonts\msmincho.ttc	128
0x3e143268	\Endpoint	128
0x3e143730	\Windows\System32\fr-FR\svchost.exe.mui	128
0x3e143830	\Windows\System32\WSHTCPIP.DLL	128
0x3e143d50	\Users\Daniel\Downloads	128
0x3e1474f8	\Endpoint	128
0x3e148e90	\Winsock2\CatalogChangeListener-154-0	128
0x3e14c760	\LSM_API_service	128
0x3e14c840	\LSM_API_service	128
0x3e14c9e0	\LSM_API_service	128
0x3e14d170	\Windows\System32\UXInit.dll	128
0x3e14d7a8	\Windows\System32\uxtheme.dll	128
0x3e14e290	\Endpoint	128
0x3e14f168	\Program Files\Mozilla Firefox\api-ms-win-crt-locale-l1-1-0.dll	128
0x3e14f930	\Endpoint	128
0x3e150988	\Endpoint	128
0x3e151568	\Windows\System32\wdscore.dll	128
0x3e152308	\Windows\System32\IDStore.dll	128
0x3e152598	\Windows\Fonts\constanz.ttf	128
0x3e152c60	\Users\Daniel\AppData\Local\Microsoft\Windows\History\History.IE5\index.dat	128
0x3e152e30	\Endpoint	128
0x3e153570	\$Directory	128
0x3e15c8d0	\Windows\System32\dbghelp.dll	128
0x3e15d148	\Users\Daniel\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\BAD725C80F9E10846F35D039A996E4A8_88B6AE015495C1ECC395D19C1DD02894	128
0x3e15d200	\$Directory	128
0x3e15de38	\$Directory	128
0x3e15e190	\$ConvertToNonresident	128
0x3e15e638	\Windows\System32\KBDUS.DLL	128
0x3e15e880	\$Directory	128
0x3e15f270	\Windows\inf\netavpnt.PNF	128
0x3e164038	\Windows\System32\imapi2.dll	128
0x3e164218	\atsvc	128
0x3e1642d0	\atsvc	128
0x3e164478	\Windows\System32\dxgi.dll	128
0x3e164530	\Windows\System32\fontext.dll	128
0x3e1659c0	\Windows\System32\fr-FR\propsys.dll.mui	128
0x3e166388	\Winsock2\CatalogChangeListener-39c-0	128
0x3e166440	\Windows\System32\authui.dll	128
0x3e1664f8	\Windows\System32\dwmapi.dll	128
0x3e1672f8	\Endpoint	128
0x3e167558	\Windows\winsxs\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_72d18a4386696c80\GdiPlus.dll	128
0x3e167ae8	\Endpoint	128
0x3e167ca8	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2	128
0x3e168ca8	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Task Scheduler.lnk	128
0x3e168dd8	\Endpoint	128
0x3e169618	\Windows\System32\wbem\wbemcore.dll	128
0x3e169c90	\Windows\System32\C_949.NLS	128
0x3e16a2d0	\Endpoint	128
0x3e16a5a0	\Windows\System32\FntCache.dll	128
0x3e16b2d0	\atsvc	128
0x3e16b388	\Windows\Tasks	128
0x3e16c708	\Windows\System32\propsys.dll	128
0x3e16c8b0	\Windows\Fonts\upcdi.ttf	128
0x3e16d558	\Windows\System32\fr-FR\msctf.dll.mui	128
0x3e16db88	\Users\Daniel\AppData\LocalLow\Adobe\AcroCef\DC\Acrobat\Cache\Code Cache\js\1e72dab61268505d_0	128
0x3e16dd90	\Windows\inf\netrass.PNF	128
0x3e16df80	\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.edb	128
0x3e16e470	\Windows\System32\WsmSvc.dll	128
0x3e16e9a8	\Windows\System32\syncui.dll	128
0x3e16eb90	\Windows\System32\winevt\Logs\Microsoft-Windows-Kernel-StoreMgr%4Operational.evtx	128
0x3e16ef80	\Windows\System32\fr-FR\qmgr.dll.mui	128
0x3e1734a0	\Windows\System32\cryptui.dll	128
0x3e174498	\Windows\Fonts\StaticCache.dat	128
0x3e1746b8	\Windows\System32\wbem\repdrvfs.dll	128
0x3e174770	\Windows\System32\mpr.dll	128
0x3e175440	\Windows\System32\Sens.dll	128
0x3e175b90	\Windows\System32\fr-FR\bfe.dll.mui	128
0x3e1765e0	\Windows\System32\wbem\wbemsvc.dll	128
0x3e1774b8	\Windows\System32\taskschd.dll	128
0x3e177728	\ProgramData\Microsoft\Windows\Caches\cversions.2.db	128
0x3e178608	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2\comctl32.dll	128
0x3e179498	\$Directory	128
0x3e17a4e0	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010008.wid	128
0x3e17b640	\Windows\System32\sppobjs.dll	128
0x3e17bbc0	\Windows\System32\MPSSVC.dll	128
0x3e17c5f0	\Windows\System32\fr-FR\msctf.dll.mui	128
0x3e17db38	\Windows\System32\wups.dll	128
0x3e17e6b8	\$Directory	128
0x3e180890	\Windows\SoftwareDistribution\DataStore\Logs\tmp.edb	128
0x3e1815c0	\Windows\System32\fr-FR\propsys.dll.mui	128
0x3e183038	\Windows\System32\lsmproxy.dll	128
0x3e184770	\ProgramData\Microsoft\Windows\Caches\{6AF0698E-D558-4F6E-9B3C-3716689AF493}.2.ver0x0000000000000007.db	128
0x3e184be0	\Windows\System32\wfapigp.dll	128
0x3e185770	\ProgramData\Microsoft\Windows\Caches\{DDF571F2-BE98-426D-8288-1A9A39C3FDA2}.2.ver0x0000000000000002.db	128
0x3e186458	\Windows\System32\certcli.dll	128
0x3e188770	\$Directory	128
0x3e188f80	\Windows\System32\d3d10core.dll	128
0x3e1898e0	\Windows\Fonts\segoeprb.ttf	128
0x3e18a648	\Windows\System32\WinSAT.exe	128
0x3e18bd28	\Windows\System32\wkssvc.dll	128
0x3e18d658	\Windows\System32\msls31.dll	128
0x3e18df80	\Windows\System32\fr-FR\FirewallAPI.dll.mui	128
0x3e18f3a0	\Users\Daniel\AppData\LocalLow\Adobe\AcroCef\DC\Acrobat\Cache\Cache\index	128
0x3e1906c8	\Users\Daniel\AppData\LocalLow\Microsoft\CryptnetUrlCache\Content\7423F88C7F265F0DEFC08EA88C3BDE45_D975BBA8033175C8D112023D8A7A8AD6	128
0x3e192080	\Windows\System32\eappcfg.dll	128
0x3e1929d8	\Windows\System32\dps.dll	128
0x3e1931d0	\Endpoint	128
0x3e193288	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows PowerShell\desktop.ini	128
0x3e1934b0	\Windows\Fonts\lucon.ttf	128
0x3e195780	\Windows\Fonts\corbeli.ttf	128
0x3e196c98	\Windows\System32\cryptsvc.dll	128
0x3e1978e0	\Windows\winsxs\Manifests\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2.manifest	128
0x3e198b18	\Windows\System32\wfp\wfpdiag.etl	128
0x3e199ae8	\wkssvc	128
0x3e19add8	\Program Files\Mozilla Firefox\browser\features\formautofill@mozilla.org.xpi	128
0x3e19b770	\$Directory	128
0x3e19c218	\Windows\System32\winrnr.dll	128
0x3e19c388	\Windows\System32\spoolsv.exe	128
0x3e19cf50	\Windows\Fonts\upcfl.ttf	128
0x3e19e038	\Windows\Fonts\seguisb.ttf	128
0x3e19e2d0	\Endpoint	128
0x3e19f388	\$Directory	128
0x3e19f4f0	\Users\Daniel\Downloads	128
0x3e19f6d0	\Windows\System32\winmm.dll	128
0x3e19ff80	\Windows\System32\fr-FR\notepad.exe.mui	128
0x3e1a0480	\Windows\System32\samlib.dll	128
0x3e1a0708	\Windows\System32\fr-FR\winhttp.dll.mui	128
0x3e1a14c8	\Windows\System32\d3d10_1.dll	128
0x3e1a2388	\Endpoint	128
0x3e1a2a70	\keysvc	128
0x3e1a2b28	\keysvc	128
0x3e1a2c98	\keysvc	128
0x3e1a3618	\Windows\System32\fr-FR\taskhost.exe.mui	128
0x3e1a4218	\Windows\System32\fr-FR\WinSATAPI.dll.mui	128
0x3e1a4648	\Windows\System32\fr-FR\crypt32.dll.mui	128
0x3e1a49e8	\Windows\System32\wbem\WMIsvc.dll	128
0x3e1a5b98	\Users\Public\Videos\desktop.ini	128
0x3e1a5c50	\$Directory	128
0x3e1a6490	\Windows\Fonts\leelawad.ttf	128
0x3e1a7500	\Windows\System32\d3d10_1core.dll	128
0x3e1a8390	\Winsock2\CatalogChangeListener-1c4-0	128
0x3e1a8f80	\Windows\System32\stdole2.tlb	128
0x3e1a94a0	\$Directory	128
0x3e1a95c8	\Users\Daniel\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\4A9377E7E528F7E56B69A81C500ABC24	128
0x3e1a9f80	\Users\Daniel\AppData\Roaming\Mozilla\Firefox\Profiles\4alc5cmj.default-release\datareporting\archived\2022-02\1645644279296.1f1cc369-be63-442a-92dd-4a9e803ce00b.health.jsonlz4.tmp	128
0x3e1aa630	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\INDEX.000	128
0x3e1acce0	\Users\Daniel\AppData\Roaming\Microsoft\Windows\Libraries\Pictures.library-ms	128
0x3e1acf80	\Windows\Fonts\KhmerUI.ttf	128
0x3e1ad2d0	\Windows\System32\fr-FR\crypt32.dll.mui	128
0x3e1ad388	\Windows\System32	128
0x3e1ad558	\Windows\System32\nsisvc.dll	128
0x3e1ad6b8	\Windows\System32\wintrust.dll	128
0x3e1ad770	\$Directory	128
0x3e1adaa0	\Users\Daniel\AppData\Local\Mozilla\Firefox\Profiles\4alc5cmj.default-release\startupCache\scriptCache-current.bin	128
0x3e1adc40	\Windows\System32\fveui.dll	128
0x3e1adf80	\Windows\System32\es.dll	128
0x3e1aec40	\$ConvertToNonresident	128
0x3e1aef18	\Users\Daniel\Pictures\desktop.ini	128
0x3e1af648	\Windows\System32\IPHLPAPI.DLL	128
0x3e1af770	\Windows\System32\sppwinob.dll	128
0x3e1b14b8	\$NonCachedIo	128
0x3e1b1be8	\$PrepareToShrinkFileSize	128
0x3e1b2b28	\Windows\System32\pnpts.dll	128
0x3e1b2d98	\Windows\System32\fms.dll	128
0x3e1b4728	\Windows\System32\api-ms-win-crt-environment-l1-1-0.dll	128
0x3e1b4ec8	\Windows\System32\trkwks.dll	128
0x3e1b52f0	\Windows\System32\fr-FR\spoolsv.exe.mui	128
0x3e1b6038	\Windows\System32\fr-FR\setupapi.dll.mui	128
0x3e1b61e8	\Windows\System32\mssvp.dll	128
0x3e1b66b8	\$ConvertToNonresident	128
0x3e1b6770	\Windows\System32\drivers\fr-FR\ndis.sys.mui	128
0x3e1b7ce0	\Windows\System32\sysmain.dll	128
0x3e1b7f80	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\displayswitch.lnk	128
0x3e1b88b8	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2	128
0x3e1b98b0	\Windows\System32\fr-FR\vsstrace.dll.mui	128
0x3e1b9c38	\Windows\System32\api-ms-win-crt-multibyte-l1-1-0.dll	128
0x3e1bb3e0	\Windows\Fonts\upcil.ttf	128
0x3e1bbf80	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2	128
0x3e1bd830	\Windows\System32\wbem\MOF	128
0x3e1bdf80	\Windows\System32\srvsvc.dll	128
0x3e1bfd88	\Windows\System32\wersvc.dll	128
0x3e1c1880	\trkwks	128
0x3e1c1938	\trkwks	128
0x3e1c1aa8	\trkwks	128
0x3e1c1f48	\$Extend\$ObjId	128
0x3e1c2900	\$Directory	128
0x3e1c29b8	\System Volume Information\tracking.log	128
0x3e1c2bd0	\Windows\System32\browser.dll	128
0x3e1c3388	\Windows\System32\davhlpr.dll	128
0x3e1c38b8	\Windows\System32\wbemcomn.dll	128
0x3e1c3e00	\Windows\System32\fr-FR\MMDevAPI.dll.mui	128
0x3e1c4ee0	\Windows\System32\wbem\wbemprox.dll	128
0x3e1c5388	\Users\Daniel\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG2	128
0x3e1c6f80	\Windows\System32\ntdsapi.dll	128
0x3e1c80f0	\Windows\System32\FirewallControlPanel.dll	128
0x3e1c8388	\Program Files\Mozilla Firefox\pingsender.exe	128
0x3e1c9278	\Windows\System32\NapiNSP.dll	128
0x3e1c9850	\Windows\System32\gameux.dll	128
0x3e1c9d98	\Windows\System32\wbem\WmiDcPrv.dll	128
0x3e1c9e50	\Windows\System32\wbem\fastprox.dll	128
0x3e1ca398	\Windows\System32\fr-FR\KernelBase.dll.mui	128
0x3e1cdc28	\Windows\System32\resutils.dll	128
0x3e1ce770	\Windows\System32\wlanutil.dll	128
0x3e1ceb20	\Windows\System32\clusapi.dll	128
0x3e1cebd8	\	128
0x3e1ced58	\Windows\System32\sscore.dll	128
0x3e1cf4d0	\Windows\System32\devobj.dll	128
0x3e1cf920	\Windows\System32\rasadhlp.dll	128
0x3e1d0770	\$Directory	128
0x3e1d0d08	\Endpoint	128
0x3e1d1560	\Users\Daniel\AppData\Roaming\Mozilla\Firefox\Profiles\4alc5cmj.default-release\permissions.sqlite	128
0x3e1d2868	\srvsvc	128
0x3e1d38a0	\Windows\System32\fr-FR\wship6.dll.mui	128
0x3e1d3958	\Windows\System32\wbem\wmiprov.dll	128
0x3e1d9c60	\Windows\System32\iphlpsvc.dll	128
0x3e1dabe0	\Users\Daniel\AppData\Local\Microsoft\Windows\Explorer\thumbcache_32.db	128
0x3e1dca68	\Windows\System32\fr-FR\svchost.exe.mui	128
0x3e1dd388	\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.edb	128
0x3e1e1160	\Windows\System32	128
0x3e1e14d0	\Windows\System32\wer.dll	128
0x3e1e3038	\Windows\System32\bthci.dll	128
0x3e1e3480	\Windows\System32\api-ms-win-crt-heap-l1-1-0.dll	128
0x3e1e3538	\Program Files\Mozilla Firefox\api-ms-win-core-localization-l1-2-0.dll	128
0x3e1e3848	\Endpoint	128
0x3e1e4360	\Users\Daniel\AppData\Roaming\Mozilla\Firefox\Profiles\4alc5cmj.default-release\datareporting\glean\db\data.safe.bin	128
0x3e1e4a10	\Windows\System32\fr-FR\hgcpl.dll.mui	128
0x3e1e6d58	\Windows\System32\wbem\Repository\MAPPING2.MAP	128
0x3e1e6e10	\Windows\System32\wbem\Repository\MAPPING3.MAP	128
0x3e1e6ec8	\Windows\System32\netcfgx.dll	128
0x3e1e7bb8	\Windows\System32\wbem\Repository\MAPPING1.MAP	128
0x3e1e8b10	\Windows\System32\wbem\Repository\INDEX.BTR	128
0x3e1e91d0	\Windows\System32\api-ms-win-crt-string-l1-1-0.dll	128
0x3e1e9940	\Windows\System32\wbem\Repository\OBJECTS.DATA	128
