Volatility 3 Framework 2.0.1

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created
0x818686fc0650	TCPv4	0.0.0.0	5040	0.0.0.0	0	LISTENING	1288	svchost.exe	2023-04-16 21:47:17.000000 
0x818686fc0230	TCPv4	0.0.0.0	7680	0.0.0.0	0	LISTENING	4852	svchost.exe	2023-04-16 21:47:22.000000 
0x818686fc0230	TCPv6	::	7680	::	0	LISTENING	4852	svchost.exe	2023-04-16 21:47:22.000000 
0x818682fd5a70	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	716	lsass.exe	2023-04-16 21:46:22.000000 
0x818682fd5a70	TCPv6	::	49664	::	0	LISTENING	716	lsass.exe	2023-04-16 21:46:22.000000 
0x818682fd41b0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	716	lsass.exe	2023-04-16 21:46:22.000000 
0x818682fd5d30	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	572	wininit.exe	2023-04-16 21:46:22.000000 
0x818682fd5d30	TCPv6	::	49665	::	0	LISTENING	572	wininit.exe	2023-04-16 21:46:22.000000 
0x818682fd5230	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	572	wininit.exe	2023-04-16 21:46:22.000000 
0x818682fd4e10	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1120	svchost.exe	2023-04-16 21:46:23.000000 
0x818682fd4e10	TCPv6	::	49666	::	0	LISTENING	1120	svchost.exe	2023-04-16 21:46:23.000000 
0x818682fd5390	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1120	svchost.exe	2023-04-16 21:46:23.000000 
0x818682fd45d0	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	728	svchost.exe	2023-04-16 21:46:23.000000 
0x818682fd45d0	TCPv6	::	49667	::	0	LISTENING	728	svchost.exe	2023-04-16 21:46:23.000000 
0x818682fd4470	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	728	svchost.exe	2023-04-16 21:46:23.000000 
0x81867fca61b0	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	860	spoolsv.exe	2023-04-16 21:46:56.000000 
0x81867fca61b0	TCPv6	::	49668	::	0	LISTENING	860	spoolsv.exe	2023-04-16 21:46:56.000000 
0x81867fca6050	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	860	spoolsv.exe	2023-04-16 21:46:56.000000 
0x818686fbf1b0	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	696	services.exe	2023-04-16 21:46:57.000000 
0x818686fbf1b0	TCPv6	::	49669	::	0	LISTENING	696	services.exe	2023-04-16 21:46:57.000000 
0x818686fbf730	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	696	services.exe	2023-04-16 21:46:57.000000 
0x818686fc00d0	TCPv4	0.0.0.0	49670	0.0.0.0	0	LISTENING	2252	svchost.exe	2023-04-16 21:47:00.000000 
0x818686fc00d0	TCPv6	::	49670	::	0	LISTENING	2252	svchost.exe	2023-04-16 21:47:00.000000 
0x818686fbfe10	TCPv4	0.0.0.0	49670	0.0.0.0	0	LISTENING	2252	svchost.exe	2023-04-16 21:47:00.000000 
0x818687574d10	UDPv4	10.0.2.15	137	*	0		4	System	2023-04-17 17:16:09.000000 
0x8186875722e0	UDPv4	10.0.2.15	138	*	0		4	System	2023-04-17 17:16:09.000000 
0x818687030830	UDPv4	0.0.0.0	500	*	0		728	svchost.exe	2023-04-16 21:46:57.000000 
0x818687030830	UDPv6	::	500	*	0		728	svchost.exe	2023-04-16 21:46:57.000000 
0x818687031320	UDPv4	0.0.0.0	500	*	0		728	svchost.exe	2023-04-16 21:46:57.000000 
0x8186884550f0	UDPv6	fe80::b5bb:163f:5627:748f	1900	*	0		756	svchost.exe	2023-04-17 17:16:08.000000 
0x818688463060	UDPv6	::1	1900	*	0		756	svchost.exe	2023-04-17 17:16:08.000000 
0x8186884679d0	UDPv4	10.0.2.15	1900	*	0		756	svchost.exe	2023-04-17 17:16:08.000000 
0x818688468330	UDPv4	127.0.0.1	1900	*	0		756	svchost.exe	2023-04-17 17:16:08.000000 
0x818687031c80	UDPv4	0.0.0.0	4500	*	0		728	svchost.exe	2023-04-16 21:46:57.000000 
0x818687031c80	UDPv6	::	4500	*	0		728	svchost.exe	2023-04-16 21:46:57.000000 
0x818687030ce0	UDPv4	0.0.0.0	4500	*	0		728	svchost.exe	2023-04-16 21:46:57.000000 
0x818687920c10	UDPv4	0.0.0.0	5050	*	0		1288	svchost.exe	2023-04-16 21:47:17.000000 
0x818687565c70	UDPv4	0.0.0.0	5353	*	0		1500	svchost.exe	2023-04-17 17:16:10.000000 
0x818687565c70	UDPv6	::	5353	*	0		1500	svchost.exe	2023-04-17 17:16:10.000000 
0x81868844ae70	UDPv4	0.0.0.0	5353	*	0		1500	svchost.exe	2023-04-17 17:16:10.000000 
0x8186873c3a10	UDPv4	0.0.0.0	5355	*	0		1500	svchost.exe	2023-04-17 17:16:10.000000 
0x8186873c3a10	UDPv6	::	5355	*	0		1500	svchost.exe	2023-04-17 17:16:10.000000 
0x818688459bf0	UDPv4	0.0.0.0	5355	*	0		1500	svchost.exe	2023-04-17 17:16:10.000000 
0x818687080320	UDPv4	127.0.0.1	49259	*	0		728	svchost.exe	2023-04-16 21:46:57.000000 
0x818688466d50	UDPv6	fe80::b5bb:163f:5627:748f	49413	*	0		756	svchost.exe	2023-04-17 17:16:08.000000 
0x818688467200	UDPv6	::1	49414	*	0		756	svchost.exe	2023-04-17 17:16:08.000000 
0x8186884663f0	UDPv4	10.0.2.15	49415	*	0		756	svchost.exe	2023-04-17 17:16:08.000000 
0x818688466a30	UDPv4	127.0.0.1	49416	*	0		756	svchost.exe	2023-04-17 17:16:08.000000 
0x818689b0ee20	UDPv4	0.0.0.0	54124	*	0		4060	brave.exe	2023-04-17 17:24:21.000000 
0x818689b13600	UDPv4	0.0.0.0	54173	*	0		4060	brave.exe	2023-04-17 17:24:47.000000 
