Offset(P)            #Ptr   #Hnd Access Name
0x00008186814f0c20      4      0 RW-rwd \Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA
0x00008186814f1070      1      0 RW-rwd \Device\HarddiskVolume2\:$I30:$INDEX_ALLOCATION
0x00008186814f11e0      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\msfs.sys
0x00008186814f1350  32768      1 RW-rwd \Device\clfs\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x00008186814f14c0  32769      1 RW-r-- \Device\clfsTxfLog
0x00008186814f17a0  32769      1 RWDrwd \Device\clfs\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x00008186814f1910  32769      1 RW-rw- \Device\clfsKtmLog
0x00008186814f1a80     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00008186814f1d60     31      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00008186814f4210     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\ndiscap.sys
0x00008186814f47d0     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\afunix.sys
0x00008186814f4ab0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\vwififlt.sys
0x00008186814f51e0     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\pacer.sys
0x0000818681570260     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818681570ee0     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818681571840      1      0 R--r-d \Device\HarddiskVolume2\Windows\System32\csrss.exe
0x0000818681571b60  32768      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x00008186815727e0     31      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818681572c90     15      0 ------ \Device\HarddiskVolume2\Windows\System32\locale.nls
0x0000818681573140      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\winsrv.dll
0x00008186815735f0      1      1 ------ \Device\DeviceApi\CMApi
0x0000818681604380     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\filecrypt.sys
0x0000818681604660     32      0 RW-rwd \Device\HarddiskVolume2\:$I30:$INDEX_ALLOCATION
0x0000818681604940      3      0 RW-rwd \Device\HarddiskVolume2\$Extend\$RmMetadata\$Repair:$Verify:$DATA
0x0000818681605070     33      0 RW-rwd \Device\HarddiskVolume2\$Mft::$BITMAP
0x0000818681605350     30      0 RW-rwd \Device\HarddiskVolume2\$Extend\$UsnJrnl:$J:$DATA
0x0000818681605630     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\dfsc.sys
0x00008186816057a0     28      0 RW-rwd \Device\HarddiskVolume2\$BitMap
0x0000818681605a80     33      0 RW-rwd \Device\HarddiskVolume2\$Mft
0x0000818681605ed0     31      0 RW-rwd \Device\HarddiskVolume2\$Secure:$SDS:$DATA
0x00008186816844c0     12      0 R--r-d \Device\HarddiskVolume2\Program Files\Process Hacker 2\kprocesshacker.sys
0x000081868169f0c0     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\imagehlp.dll
0x000081868169f3e0     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\gdi32.dll
0x00008186816a0510  32765      1 RW---- \Device\HarddiskVolume2\Windows\System32\config\SAM.LOG1
0x00008186816a06a0      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\rpcrt4.dll
0x00008186818ad250     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\crypt32.dll
0x00008186818ad3e0      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ucrtbase.dll
0x00008186818ad570     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wintrust.dll
0x00008186818adbb0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\bcrypt.dll
0x00008186818add40     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\comctl32.dll
0x00008186818aded0     16      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\SHCore.dll
0x00008186818ae1f0     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\bcryptprimitives.dll
0x00008186818ae380      6      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\Wldap32.dll
0x00008186818ae510     15      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\shlwapi.dll
0x00008186818ae6a0     16      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\advapi32.dll
0x00008186818ae830      6      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\ole32.dll
0x00008186818ae9c0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\win32u.dll
0x00008186818aeb50      9      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\rpcrt4.dll
0x00008186818aece0     12      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\difxapi.dll
0x00008186818aee70     15      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\nsi.dll
0x00008186818b9610     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\DriverStore\FileRepository\swenum.inf_amd64_16a14542b63c02af\swenum.sys
0x00008186818e4d40     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\clbcatq.dll
0x00008186818e8390     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\E1G6032E.sys
0x00008186818eaa60     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\portcls.sys
0x0000818682f4b250     16      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\ucrtbase.dll
0x0000818682f4b3e0     12      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\gdi32full.dll
0x0000818682f4b570     10      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\gdi32.dll
0x0000818682f4bed0     10      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\GdiPlus.dll
0x0000818682f4cb50      6      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\imm32.dll
0x0000818682f50e90  32769      1 RWDrwd \Device\clfs\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x0000818682f52140     26      0 RW-rwd \Device\HarddiskVolume3\$Mft
0x0000818682f52590     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\ksthunk.sys
0x0000818682f52cc0      3      0 RW-rwd \Device\HarddiskVolume3\$Extend\$RmMetadata\$Repair:$Corrupt:$DATA
0x0000818682f53110  32769      1 RW-r-- \Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
0x0000818682f533f0  32769      1 RW-r-- \Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
0x0000818682f53560  32769      1 RW-r-- \Device\clfsTxfLog
0x0000818682f536d0  32769      1 RWDrwd \Device\clfs\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x0000818682f53840      3      0 RW-rwd \Device\HarddiskVolume3\$Extend\$Deleted:$I30:$INDEX_ALLOCATION
0x0000818682f539b0      3      0 RW-rwd \Device\HarddiskVolume3\$Extend\$RmMetadata\$Repair:$Verify:$DATA
0x0000818682f540e0      1      1 RW-rwd \Device\HarddiskVolume3\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
0x0000818682f54c60      3      0 RW-r-- \Device\HarddiskVolume3\$Extend\$RmMetadata\$Repair
0x0000818682f6d250      1      1 ------ \Device\NamedPipe\Sessions
0x0000818682f6dbb0  32437      1 RW---- \Device\HarddiskVolume2\Windows\System32\config\SAM
0x0000818682f6e1f0  31645      1 RW---- \Device\HarddiskVolume2\Windows\System32\config\SOFTWARE
0x0000818682f6e380  32186      1 RW---- \Device\HarddiskVolume2\Windows\System32\config\SYSTEM
0x0000818682f7c700      1      1 ------ \Device\Mailslot\ProtectedPrefix\Administrators
0x0000818682f7ca20      1      1 ------ \Device\NamedPipe\ProtectedPrefix\LocalService
0x0000818682f7cbb0      3      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\setupapi.dll
0x0000818682f7cd40      9      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\win32u.dll
0x0000818682f7ced0      1      1 ------ \Device\Mailslot\ProtectedPrefix\NetWorkService
0x0000818682f7d830     16      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\wintrust.dll
0x0000818682f7d9c0     11      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\comctl32.dll
0x0000818682f7db50      1      1 ------ \Device\NamedPipe\ProtectedPrefix\Administrators
0x0000818682f7dce0     16      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\combase.dll
0x0000818682f7de70     16      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\msvcrt.dll
0x0000818684412220     18      0 RW-rwd \Device\HarddiskVolume1\$Mft::$BITMAP
0x0000818684412c30      3      0 RW-rwd \Device\HarddiskVolume1\$Secure:$SII:$INDEX_ALLOCATION
0x0000818684415a30  32769      1 RWDrwd \Device\clfs\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x0000818684415d10  32769      1 RW-rw- \Device\clfsKtmLog
0x0000818684415e80      1      0 RW-rwd \Device\HarddiskVolume1\:$I30:$INDEX_ALLOCATION
0x000081868443a390     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_7500cffa210c6946\CompositeBus.sys
0x000081868443a950     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\DriverStore\FileRepository\umbus.inf_amd64_b78a9c5b6fd62c27\umbus.sys
0x000081868443b920     32      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000081868443bc00     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\smss.exe
0x000081868443c4a0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\i8042prt.sys
0x000081868443ca60     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000081868443cd40     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000081868443dd10     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\mouclass.sys
0x00008186845f00a0  32769      1 RW-r-- \Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
0x00008186845f04f0     33      0 RW-rwd \Device\HarddiskVolume2\$MftMirr
0x00008186845f0660  32769      1 RW-r-- \Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000003
0x00008186845f0c20     24      0 RW-rwd \Device\HarddiskVolume2\$LogFile
0x00008186845f1070     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\Diskdump.sys
0x00008186845f11e0  32769      1 RW-r-- \Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
0x00008186845f17a0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\beep.sys
0x00008186845f1a80     19      0 RW-rwd \Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog:$I30:$INDEX_ALLOCATION
0x0000818684821680  32480      1 RWDr-d \Device\HarddiskVolume2\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderApiLogger.etl
0x0000818684822090     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818684822200  32769      1 RW-rw- \Device\clfsKtmLog
0x00008186848227c0     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818684826cc0  32769      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\config\TxR\{53b39e37-18c4-11ea-a811-000d3aa4692b}.TxR.0.regtrans-ms
0x0000818684827280  32769      1 RW-rw- \Device\clfs\SystemRoot\System32\Config\TxR\{53b39e38-18c4-11ea-a811-000d3aa4692b}.TM
0x00008186848280e0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\hidparse.sys
0x0000818684828810  32769      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\config\TxR\{53b39e37-18c4-11ea-a811-000d3aa4692b}.TxR.blf
0x0000818684828c60  32768      1 RW-rwd \Device\clfs\SystemRoot\System32\Config\TxR\{53b39e38-18c4-11ea-a811-000d3aa4692b}.TM
0x0000818684828dd0      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\hidusb.sys
0x000081868482d250  32765      1 RW---- \Device\HarddiskVolume2\Windows\System32\config\SAM.LOG2
0x000081868482d700  32713      1 RW---- \Device\HarddiskVolume2\Windows\System32\config\SYSTEM.LOG2
0x000081868482dd40  32752      1 RW---- \Device\HarddiskVolume2\Windows\System32\config\SECURITY.LOG1
0x000081868482ded0  32764      1 RW---- \Device\HarddiskVolume2\Windows\System32\config\SECURITY.LOG2
0x000081868482ece0  32552      1 RW---- \Device\HarddiskVolume2\Windows\System32\config\SOFTWARE.LOG1
0x000081868482ee70  32631      1 RW---- \Device\HarddiskVolume2\Windows\System32\config\SOFTWARE.LOG2
0x000081868486b700  32763      1 RW--w- \Device\HarddiskVolume2\pagefile.sys
0x000081868486bed0     18      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000081868486c380      1      1 R--rw- \Device\HarddiskVolume2\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e
0x0000818684bf03a0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\monitor.sys
0x0000818684bf1370  32769      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\config\TxR\{53b39e37-18c4-11ea-a811-000d3aa4692b}.TxR.2.regtrans-ms
0x0000818684bf1930  32769      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\config\TxR\{53b39e37-18c4-11ea-a811-000d3aa4692b}.TxR.3.regtrans-ms
0x0000818684cd19d0  32784      1 R--r-d \Device\HarddiskVolume2\Windows\System32\Dism\fr-FR\VhdProvider.dll.mui
0x0000818684cd1b60     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818684cd1e80     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\winlogon.exe
0x0000818684cd21a0  32768      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x0000818684cd2330     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\KBDFR.DLL
0x0000818684cd24c0     19      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818684cd2650      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SebBackgroundManagerPolicy.dll
0x0000818684cd27e0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\powrprof.dll
0x0000818684cd2b00  32766      1 ------ \Device\NamedPipe\mojo.4072.4044.6145466026731226670
0x0000818684cd2e20     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\userenv.dll
0x0000818684cd3140     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wininitext.dll
0x0000818684cd3460  32767      1 ------ \Device\NamedPipe\InitShutdown
0x0000818684cd35f0  32767      1 ------ \Device\NamedPipe\InitShutdown
0x0000818684cd3780      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\services.exe
0x0000818684cd3aa0      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\sxs.dll
0x0000818684cd3dc0      1      1 ------ \Device\NamedPipe\InitShutdown
0x0000818684d18780      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\cryptdll.dll
0x0000818684df2260     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wdigest.dll
0x0000818684df23f0     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\logoncli.dll
0x0000818684df2710      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wkscli.dll
0x0000818684df2bc0      1      1 ------ \Device\NamedPipe\lsass
0x0000818684df39d0      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\MicrosoftAccountCloudAP.dll
0x0000818684df3e80      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818684df4650     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\NtlmShared.dll
0x0000818684df5140      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\netutils.dll
0x0000818684e0a400  32768      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x0000818684e0a590     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\kdcpw.dll
0x0000818684e0a720     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\scecli.dll
0x0000818684e0aa40  32767      1 ------ \Device\NamedPipe\scerpc
0x0000818684e0abd0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\profext.dll
0x0000818684e0ad60      1      1 ------ \Device\NamedPipe\scerpc
0x0000818684e0aef0      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\svchost.exe
0x0000818684e0b3a0  32767      1 ------ \Device\NamedPipe\ntsvcs
0x0000818684e0b530      3      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818684e0b850  32771      1 RW-rw- \Device\HarddiskVolume2\Users\Admin\AppData\Local\BraveSoftware\Brave-Browser\User Data\Default\Login Data
0x0000818684e0b9e0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\authz.dll
0x0000818684e0bb70     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\umpnpmgr.dll
0x0000818684e0bd00      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\FirewallAPI.dll
0x0000818684e0be90      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\fwbase.dll
0x0000818684e0c1b0  32782      1 R--r-d \Device\HarddiskVolume2\Windows\System32\fr-FR\services.exe.mui
0x0000818684e0c340      1      1 ------ \Device\NamedPipe\ntsvcs
0x0000818684e0c4d0     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818684e0c660  32767      1 ------ \Device\NamedPipe\ntsvcs
0x0000818684e0c980  32768      1 R--r-d \Device\HarddiskVolume2\Windows\System32\fr-FR\netmsg.dll.mui
0x0000818684e0cb10  32767      1 ------ \Device\NamedPipe\scerpc
0x0000818684e0cca0      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\scesrv.dll
0x0000818684e0ce30     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\WUDFPlatform.dll
0x0000818684e0d150     20      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818684e0d2e0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\gpapi.dll
0x0000818684e0d470     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\networkhelper.dll
0x0000818684e0d600  32768      1 ------ \Device\NamedPipe\Sessions\1\AppContainerNamedObjects\S-1-15-2-95739096-486727260-2033287795-3853587803-1685597119-444378811-2746676523
0x0000818684e0d790     16      0 R--r-d \Device\HarddiskVolume2\Windows\Fonts\vgasys.fon
0x0000818684e0d920      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\umpo.dll
0x0000818684e0dab0      1      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SearchFilterHost.exe
0x0000818684e0dc40     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\hid.dll
0x0000818684e0ddd0  32768      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x0000818684e0e0f0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\fontdrvhost.exe
0x0000818684e0e280      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\slc.dll
0x0000818684e0e410      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\sppc.dll
0x0000818684e0e5a0      1      0 R--r-d \Device\HarddiskVolume2\Windows\System32\fontdrvhost.exe
0x0000818684e0e730     30      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818684e0ea50     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\UserDataPlatformHelperUtil.dll
0x0000818684e0ebe0  32765      1 RW-r-d \Device\HarddiskVolume2\Windows\System32\SleepStudy\UserNotPresentSession.etl
0x0000818684e0ed70  32768      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x0000818684e0f090  32766      1 ------ \Device\DeviceApi\CMNotify
0x0000818684e0f220     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\umpoext.dll
0x0000818684e0f3b0  32768      1 ------ \Device\NamedPipe\Sessions\0\AppContainerNamedObjects\S-1-15-2-95739096-486727260-2033287795-3853587803-1685597119-444378811-2746676523
0x0000818684e0f540     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\tdh.dll
0x0000818684e0f6d0  32570      1 ------ \Device\DeviceApi\CMApi
0x0000818684e0f860     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dxgi.dll
