Name                                                  Pid   PPid   Thds   Hnds Time
.. 0xffff818686cb32c0:svchost.exe                    1276    696      4      0 2023-04-16 21:46:23 UTC+0000
.. 0xffff81868815a2c0:svchost.exe                    4088    696      3      0 2023-04-16 21:47:50 UTC+0000
. 0xffff818684e1d140:fontdrvhost.ex                   852    572      5      0 2023-04-16 21:46:22 UTC+0000
 0xffff8186848a8080:csrss.exe                         480    464     13      0 2023-04-16 21:46:20 UTC+0000
 0xffff81867fc82080:System                              4      0    185      0 2023-04-16 21:46:14 UTC+0000
. 0xffff81867fdc5040:Registry                         108      4      4      0 2023-04-16 21:45:59 UTC+0000
. 0xffff818681879040:smss.exe                         380      4      2      0 2023-04-16 21:46:14 UTC+0000
. 0xffff818686d72040:MemCompression                  1484      4     26      0 2023-04-16 21:46:23 UTC+0000
 0xffff818684d9a140:csrss.exe                         556    548     14      0 2023-04-16 21:46:20 UTC+0000
 0xffff818684cd7080:winlogon.exe                      624    548      5      0 2023-04-16 21:46:21 UTC+0000
. 0xffff8186813f5340:userinit.exe                    3892    624      0 ------ 2023-04-16 21:47:17 UTC+0000
.. 0xffff818684aa0340:explorer.exe                   3928   3892     66      0 2023-04-16 21:47:17 UTC+0000
... 0xffff8186885240c0:SecurityHealth                6304   3928      6      0 2023-04-16 21:47:34 UTC+0000
... 0xffff81868852e080:VBoxTray.exe                  6424   3928     13      0 2023-04-16 21:47:34 UTC+0000
.... 0xffff818687754080:svchost.exe                  5540   6424      1      0 2023-04-17 17:21:18 UTC+0000
... 0xffff818687fb70c0:ProcessHacker.                3524   3928     10      0 2023-04-17 17:21:50 UTC+0000
... 0xffff818688060300:brave.exe                     4072   3928     31      0 2023-04-17 17:21:31 UTC+0000
.... 0xffff8186872b8300:brave.exe                    5064   4072      8      0 2023-04-17 17:21:39 UTC+0000
.... 0xffff818687e5e080:brave.exe                    4160   4072     18      0 2023-04-17 17:22:11 UTC+0000
.... 0xffff818681344080:brave.exe                    4060   4072     12      0 2023-04-17 17:21:44 UTC+0000
.... 0xffff8186886980c0:brave.exe                    5500   4072     15      0 2023-04-17 17:21:46 UTC+0000
.... 0xffff818688773080:brave.exe                    2844   4072      7      0 2023-04-17 17:21:44 UTC+0000
.... 0xffff818687ff6080:brave.exe                    3952   4072     14      0 2023-04-17 17:21:44 UTC+0000
. 0xffff818684f840c0:dwm.exe                          324    624     30      0 2023-04-16 21:46:22 UTC+0000
. 0xffff818684d06080:fontdrvhost.ex                   864    624      5      0 2023-04-16 21:46:22 UTC+0000
 0xffff818688160300:brave.exe                        6808   6612     10      0 2023-04-17 17:16:19 UTC+0000
. 0xffff8186880f4080:brave.exe                       3144   6808      0 ------ 2023-04-17 17:18:04 UTC+0000
 0xffff81868897e080:OneDrive.exe                     7156   7048     20      0 2023-04-16 21:48:32 UTC+0000
. 0xffff818684b43080:Microsoft.Shar                  2296   7156      0 ------ 2023-04-17 17:16:06 UTC+0000
 0xffff818688718080:BraveUpdate.ex                    960   1528      3      0 2023-04-17 17:16:26 UTC+0000
