Offset(P)            #Ptr   #Hnd Access Name
0x000000001e4d96f0      4      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\advapi32.dll
0x000000001e50c960      4      0 R----- \Device\CdRom0$PATH_TABLE$
0x000000001e529ba0     17      1 RW-rw- \Device\HarddiskVolume2\Users\Jean\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012022092820220929\index.dat
0x000000001e537530      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wininit.exe
0x000000001e555990     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\profapi.dll
0x000000001e5bc070      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\fr-FR\KernelBase.dll.mui
0x000000001e5bc610      2      1 RW-rw- \Device\clfs\Device\HarddiskVolume2\Users\Jean\AppData\Local\Microsoft\Windows\UsrClass.dat{b381ea73-3823-11ed-90bc-080027915912}.TM
0x000000001e5bc7c0      1      1 ------ \Device\Mailslot\ProtectedPrefix\LocalService
0x000000001e5bc910      1      1 ------ \Device\NamedPipe\ProtectedPrefix\LocalService
0x000000001e5bca60      1      1 ------ \Device\Mailslot\ProtectedPrefix\Administrators
0x000000001e5bdc80     13      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\urlmon.dll
0x000000001e5c1070      2      1 R--rwd \Device\HarddiskVolume2\Users\Jean\Links
0x000000001e60c960      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\wmiutils.dll
0x000000001e619110      1      1 RW---- \Device\HarddiskVolume2\Windows\System32\config\SYSTEM.LOG1
0x000000001e6198b0      1      1 R--r-d \Device\HarddiskVolume2\Windows\Fonts\StaticCache.dat
0x000000001e6bb070     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dwmcore.dll
0x000000001e6ca1c0      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e719280     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\gdi32.dll
0x000000001e7469f0      1      1 ------ \Device\Mailslot\ProtectedPrefix\NetWorkService
0x000000001e746b40      1      1 ------ \Device\NamedPipe\ProtectedPrefix\NetWorkService
0x000000001e76e890      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\perftrack.dll
0x000000001e76ea10      1      1 RW-rwd \Device\clfs\SystemRoot\System32\Config\TxR\{016888cd-6c6f-11de-8d1d-001e0bcde3ec}.TM
0x000000001e776dc0     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\sechost.dll
0x000000001e77cb00     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\rsaenh.dll
0x000000001e77cf20     16      0 ------ \Device\HarddiskVolume2\Windows\System32\C_28591.NLS
0x000000001e7919f0     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ole32.dll
0x000000001e793d00      1      1 ------ \Device\NamedPipe\ProtectedPrefix
0x000000001e7974c0      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\psapi.dll
0x000000001e7a2190      4      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001e7bf360      2      1 RW-rw- \Device\clfs\SystemRoot\System32\Config\TxR\{016888cd-6c6f-11de-8d1d-001e0bcde3ec}.TM
0x000000001e7bf5e0      1      1 RW-r-d \Device\HarddiskVolume2\Windows\System32\wdi\LogFiles\WdiContextLog.etl.001
0x000000001e7bf730      1      1 ------ \Device\NamedPipe\srvsvc
0x000000001e7cb350      1      1 RW-rwd \Device\clfs\Device\HarddiskVolume2\Users\Jean\AppData\Local\Microsoft\Windows\UsrClass.dat{b381ea73-3823-11ed-90bc-080027915912}.TM
0x000000001e7ce3e0      2      1 ------ \Device\Afd\Endpoint
0x000000001e7ce630     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001e7df8d0      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\nsi.dll
0x000000001e7ea070      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\urlmon.dll
0x000000001e7ea370     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\oleaut32.dll
0x000000001e8007a0      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\AUDIOKSE.dll
0x000000001e802e20      1      1 ------ \Device\00000049\eheadphonetopo
0x000000001e803f20      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mmcss.dll
0x000000001e8042a0      1      1 ------ \Device\00000049\espeakertopo
0x000000001e805ba0     19      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Application.evtx
0x000000001e8171c0      1      1 RW---- \Device\HarddiskVolume2\Users\Jean\ntuser.dat.LOG1
0x000000001e817b20      7      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Security.evtx
0x000000001e818360      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msacm32.dll
0x000000001e81f630      1      1 ------ \Device\00000049\espeakertopo
0x000000001e81fb30     17      1 R--r-d \Device\HarddiskVolume2\Windows\System32\fr-FR\audiodg.exe.mui
0x000000001e81fed0      1      1 R--rw- \Device\HarddiskVolume2\Windows
0x000000001e821930      1      0 RW-rwd \Device\HarddiskVolume2\$PrepareToShrinkFileSize
0x000000001e825850      1      1 ------ \Device\00000049\emicintopo
0x000000001e82fc90      1      1 ------ \Device\00000049\espeakerwave
0x000000001e830280     18      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Key Management Service.evtx
0x000000001e830650     18      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Internet Explorer.evtx
0x000000001e8309c0     18      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Media Center.evtx
0x000000001e831950      1      1 ------ \Device\00000049\emicinwave
0x000000001e8324b0     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\winmm.dll
0x000000001e832600      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ksuser.dll
0x000000001e838af0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\atl.dll
0x000000001e8396f0      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msacm32.drv
0x000000001e842070      2      1 ------ \Device\Afd\Endpoint
0x000000001e8460e0      1      1 ------ \Device\Mailslot\ProtectedPrefix
0x000000001e847340      1      1 RW---- \Device\HarddiskVolume2\Users\Jean\NTUSER.DAT
0x000000001e84b380     18      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Program-Compatibility-Assistant.evtx
0x000000001e84bb90     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\AudioEng.dll
0x000000001e851ec0      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\es.dll
0x000000001e852dd0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\UXInit.dll
0x000000001e8557f0     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001e856a50     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Sens.dll
0x000000001e8598c0     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mfplat.dll
0x000000001e859ac0      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\WMALFXGFXDSP.dll
0x000000001e85c8c0     19      1 -W-r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\GatherLogs\SystemIndex\SystemIndex.3.gthr
0x000000001e85cb20      4      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\INDEX.000
0x000000001e86f420     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\nrpsrv.dll
0x000000001e870f20     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\uxsms.dll
0x000000001e872a70     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\nsisvc.dll
0x000000001e873780     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\lmhsvc.dll
0x000000001e878f20      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dhcpcore.dll
0x000000001e87b3b0      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000001e87fbc0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dhcpcore6.dll
0x000000001e8806c0      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ntshrui.dll
0x000000001e881c50     17      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010002.dir
0x000000001e885620     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001e8857b0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\WinMgmtR.dll
0x000000001e891690     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\radardt.dll
0x000000001e893d00      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dnsrslvr.dll
0x000000001e894700     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dnsext.dll
0x000000001e894f20     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\FWPUCLNT.DLL
0x000000001e895070      3      1 R--rwd \Device\HarddiskVolume2\Windows\System32\drivers\etc
0x000000001e895f20      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dhcpcsvc.dll
0x000000001e899250     14      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\wininet.dll
0x000000001e899550      3      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\shell32.dll
0x000000001e89cbd0     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001e89cf20     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001e89fd10      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dhcpcsvc6.dll
0x000000001e8a1f20      2      1 ------ \Device\Afd\Endpoint
0x000000001e8a23b0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\shsvcs.dll
0x000000001e8a2dd0     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ktmw32.dll
0x000000001e8a4d00     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\schedsvc.dll
0x000000001e8a51b0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\fveapi.dll
0x000000001e8a6280     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\fvecerts.dll
0x000000001e8ab070     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\tbs.dll
0x000000001e8acca0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wiarpc.dll
0x000000001e8acf20     18      1 RW-r-- \Device\HarddiskVolume2\Windows\Tasks\SCHEDLGU.TXT
0x000000001e8addd0      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\taskcomp.dll
0x000000001e8aeb00      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-3b8-0
0x000000001e8b02e0      2      1 ------ \Device\Afd\Endpoint
0x000000001e8b0690     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\spoolsv.exe
0x000000001e8b0aa0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\NlsData000c.dll
0x000000001e8c3950      2      1 ------ \Device\Afd\Endpoint
0x000000001e8cae20     16      0 R--rw- \Device\HarddiskVolume2\Users\Jean\AppData\Local\Microsoft\Windows\1036\StructuredQuerySchema.bin
0x000000001e8d3070     16      0 R--rwd \Device\HarddiskVolume2\Windows\System32\sechost.dll
0x000000001e8d3de0     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\FXSMON.dll
0x000000001e8d9f20      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000001e8da3f0      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001e8da540      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_2b24536c71ed437a
0x000000001e8dc680      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001e8ddc10      2      1 R--rwd \Device\HarddiskVolume2\Users\Jean\AppData\Roaming\Microsoft\Credentials
0x000000001e8dfde0      1      1 ------ \Device\NamedPipe\srvsvc
0x000000001e8e0c60     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\VBoxDispD3D.dll
0x000000001e8e1700      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001e8e23b0      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001e8e3850      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e8e6070      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e8e73e0     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\IDStore.dll
0x000000001e8ea850      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001e8ea9a0      1      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories
0x000000001e8eabb0      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_2b24536c71ed437a
0x000000001e8ec2b0     16      0 R----- \Device\HarddiskVolume2\Windows\Prefetch\SVCHOST.EXE-61AE5AB6.pf
0x000000001e8ee230     16      0 R--rwd \Device\HarddiskVolume2\Windows\System32\ntdll.dll
0x000000001e8eec80      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001e8f0420      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001e8f0570     16      0 R--rwd \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_a4d6a923711520a9\comctl32.dll
0x000000001e8f0f20     16      0 R--rwd \Device\HarddiskVolume2\Windows\SysWOW64\msctf.dll
0x000000001e8f1070     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\tcpmon.dll
0x000000001e8f1a60      4      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\PropMap\CiPT0000.000
0x000000001e8f5430     14      0 R--rwd \Device\HarddiskVolume2\Windows\System32\odbcint.dll
0x000000001e8f5580      2      1 RW-r-- \Device\HarddiskVolume2\Users\Jean\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000002.regtrans-ms
0x000000001e8f59e0      1      1 -W-rw- \Device\HarddiskVolume2\Windows\debug\WIA\wiatrace.log
0x000000001e8f92b0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wiaservc.dll
0x000000001e8f9580      1      1 RW---- \Device\HarddiskVolume2\Users\Jean\ntuser.dat.LOG2
0x000000001e8fb9c0     17      1 R--r-d \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.7600.16385_fr-fr_b2f26ecb36a2bcea\comctl32.dll.mui
0x000000001e8fbce0      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.7600.16385_fr-fr_b2f26ecb36a2bcea
0x000000001e8fc570      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000001e8fccb0      3      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Caches\{DDF571F2-BE98-426D-8288-1A9A39C3FDA2}.2.ver0x0000000000000002.db
0x000000001e8fd280      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001e8fd730      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001e8fd880     16      0 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Caches\cversions.2.db
0x000000001e8fe290      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e900380      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001e9013c0     16      0 R--rwd \Device\HarddiskVolume2\Windows\System32\UIRibbon.dll
0x000000001e901870      2      1 RW-r-- \Device\HarddiskVolume2\Users\Jean\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000001.regtrans-ms
0x000000001e902cd0     10      0 R--r-- \Device\HarddiskVolume2\Windows\AppPatch\sysmain.sdb
0x000000001e903da0     15      0 R--rwd \Device\HarddiskVolume2\Windows\System32\odbc32.dll
0x000000001e905300      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e906c00     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\netmsg.dll
0x000000001e908a80      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\clusapi.dll
0x000000001e90b990     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\aelupsvc.dll
0x000000001e90c580     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msidle.dll
0x000000001e90dc10     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ncobjapi.dll
0x000000001e90e6a0     16      0 R--rwd \Device\HarddiskVolume2\Windows\System32\wow64cpu.dll
0x000000001e90f070     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\KernelBase.dll
0x000000001e90f250      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wintrust.dll
0x000000001e90f3a0      6      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\user32.dll
0x000000001e91b6a0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\sti.dll
